,name,price,standard_price,flag,category
246,komplet kuchenny Junona Line 240 cm dąb bernstein,999,0.0,"['NOWOŚĆ', 'SZOKUJĄCO NISKA CENA']",komplet kuchenny
247,szafka nocna Arica 50 cm z szufladą lewa dąb silva/beton,299,0.0,['WYPRZEDAŻ'],szafka nocna
248,ława Aroz 50 cm dąb lancelot,259,0.0,[],ława
249,stelaż listwowy na taśmie do łóżka 90x200,119,0.0,['Promocja'],stelaż listwowy na taśmie do łóżka
250,stół rozkładany Lucan 2 95/145/195x95 grafitowy,899,1859.0,['WYPRZEDAŻ'],stół rozkładany
251,witryna Azteca Trio 60 cm z 2 drzwiami biały połysk,1229,0.0,[],witryna
252,komoda Locarno 150 cm z 2 drzwiami i 4 szufladami grafit/dąb artisan,1159,0.0,[],komoda
253,szafka RTV Hesen 137 cm z 2 szufladami grafit,459,0.0,['Promocja'],szafka RTV
254,szafa jednodrzwiowa Balder 60 cm dąb riviera/biały połysk,509,0.0,['Promocja'],szafa jednodrzwiowa
255,szafka kuchenna dolna narożna Sole L6 90 cm dąb halifax natura,1536,0.0,[],szafka kuchenna dolna narożna
256,szuflady do łóżka 140 Nepo Plus,389,0.0,['Promocja'],szuflady do łóżka
257,półki do szafy Nepo Plus,189,0.0,['Promocja'],półki do szafy
258,regał MultiDo 45 cm z 3 półkami dąb artisan,149,0.0,['NOWOŚĆ'],regał
259,narożnik lewostronny Loft rozkładany z pojemnikiem welurowy granatowy,5499,0.0,[],narożnik lewostronny
260,komoda Horton 170 cm z 3 drzwiami i szufladą dąb złoty grandson/biały połysk,1439,0.0,['Promocja'],komoda
261,szafka RTV Kent 101 cm z szufladą i półką kasztan,739,0.0,['Promocja'],szafka RTV
262,komoda Zenda 150 cm z drzwiami i 3 szufladami nogi metal dąb waterford/czarny,1559,0.0,[],komoda
263,komplet kuchenny Junona Line 180 cm grafit,699,0.0,[],komplet kuchenny
264,regał Walton 105 cm z 2 drzwiami szufladą i 5 szufladami dąb wielki/czarny,499,0.0,['WYPRZEDAŻ'],regał
